,title,Location,Job Family,Job Class,Posting Start,Posting End,Details,MINIMUM SALARY,DAILY RATE RANGE,Salary,HOURLY RATE RANGE,SALARY RANGE
121,EDUC ASSIST SPED MS 23/24SY,BEARDEN MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,08/03/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
122,PERMANENT SUB II 23/24SY,BEAUMONT MAGNET,CLASSIFIED,SUBSTITUTE PERMANENT II,08/03/2023,09/30/2023,JOB DESCRIPTION,,,,,
123,EDUC ASSIST PAC ES 23/24SY,BEAUMONT MAGNET,CLASSIFIED,EDUCATIONAL ASSISTANT ES,08/03/2023,10/31/2023,JOB DESCRIPTION,"$22,308.00",,,,
124,EA SUPPLY DEPOT (PART-TIME) 23/24SY,PUBLIC AFFAIRS,CLASSIFIED,EA SYSTEMWIDE,08/04/2023,09/30/2023,JOB DESCRIPTION,"$24,040.50",,,,
125,CLUB SPORT / ASSISTANT BOYS LACROSSE COACH / WEST HIGH SCHOOL,WEST HIGH,CLASSIFIED,ATH COACH CLUB SPORTS,08/04/2023,11/29/2023,,,,,,
126,CLUB SPORT / ASSISTANT BOYS LACROSSE COACH / WEST HIGH SCHOOL,WEST HIGH,CLASSIFIED,ATH COACH CLUB SPORTS,08/04/2023,11/29/2023,,,,,,
127,CLUB SPORT / ASSISTANT BOYS LACROSSE COACH / WEST HIGH SCHOOL,WEST HIGH,,ATH COACH CLUB SPORTS,08/04/2023,11/29/2023,,,,,,
128,COORDINATOR TESTING 23/24SY,AUSTIN EAST HIGH,CERTIFIED,COORDINATOR,08/04/2023,09/30/2023,,"$44,800.00",,,,
129,PERMANENT SUB II 23/24SY,PLEASANT RIDGE ELEMENTARY,CLASSIFIED,SUBSTITUTE PERMANENT II,08/07/2023,09/30/2023,JOB DESCRIPTION,,,,,
130,TCHR SPED ES 23/24SY,INSKIP ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,08/08/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
131,EDUC ASSIST SPED ES 23/24SY,SHANNONDALE ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,08/08/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
132,ASSISTANT BOYS BASKETBALL COACH / EXTRA / CEDAR BLUFF MIDDLE SCHOOL,CEDAR BLUFF MIDDLE,CLASSIFIED,ATH COACH BASKETBALL MIDDLE,08/09/2023,11/29/2023,,,,,,
133,CLUB SPORT / ASSISTANT BOYS LACROSSE COACH / WEST HIGH SCHOOL,WEST HIGH,CLASSIFIED,ATH COACH CLUB SPORTS,08/09/2023,11/29/2023,,,,,,
