title,Location,Job Family,Job Class,Posting Start,Posting End,Details,MINIMUM SALARY,DAILY RATE RANGE,Salary,HOURLY RATE RANGE,SALARY RANGE
TRANSPORTATION RADIO DISPATCHER TIME CARD,TRANSPORTATION,CLASSIFIED,TIMECARD,7/3/23,5/24/24,JOB DESCRIPTION,,,,,
ASSISTANT SOFTBALL COACH / EXTRA / FULTON HIGH SCHOOL,FULTON HIGH,CLASSIFIED,ATH COACH SOFTBALL ASSISTANT,9/27/22,11/29/23,,,,,,
EDUC ASSIST CDC MS 23/24SY,VINE MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
STRENGTH AND CONDITIONING COACH / HARDIN VALLEY ACADEMY,HARDIN VALLEY ACADEMY,CLASSIFIED,ATHLETIC COACH,7/31/21,11/29/23,,,,,,
ASSISTANT FOOTBALL COACH / SOUTH DOYLE HIGH SCHOOL,SOUTH DOYLE HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,7/21/22,11/29/23,,,,,,
ASSISTANT WRESTLING COACH / FULTON HIGH SCHOOL,FULTON HIGH,CLASSIFIED,ATH COACH WRESTLING ASSISTANT,7/12/22,11/29/23,,,,,,
ASSISTANT GIRLS BASKETBALL COACH / EXTRA / HOLSTON MIDDLE SCHOOL,HOLSTON MIDDLE,CLASSIFIED,ATH COACH BASKETBALL B-TEAM,7/13/22,11/29/23,,,,,,
EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST 504 ELEVATE PROGRAM 23/24SY,SYSTEMWIDE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",AL LOTTS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",ADRIAN BURNETT ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BALL CAMP ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BEAUMONT MAGNET,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BELLE MORRIS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BLUE GRASS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BONNY KATE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CARTER ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CEDAR BLUFF ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CHILHOWEE INTERMEDIATE,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CHRISTENBERRY ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CORRYTON ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",DOGWOOD ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",EAST KNOX ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",FARRAGUT INTERMEDIATE,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",FOUNTAIN CITY ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",GAP CREEK ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",GIBBS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",GREEN MAGNET ACADEMY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",HARDIN VALLEY ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",INSKIP ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",KARNS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",LONSDALE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",MAYNARD ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",MOORELAND HEIGHTS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",MOUNT OLIVE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",NEW HOPEWELL ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",NORWOOD ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",PLEASANT RIDGE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",POWELL ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",RITTA ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SARAH MOORE GREENE MAGNET,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SHANNONDALE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SOUTH KNOX ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SPRING HILL,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",STERCHI ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SUNNYVIEW,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",WEST HAVEN ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",WEST HILLS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",WEST VIEW ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",NORTHSHORE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
TCHR SPECIAL ED 23/24SY,HALLS HIGH,CERTIFIED,TEACHER HS SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
FOOD SERVICE MANAGER TRAINEE,CHILD NUTRITION,CLASSIFIED,FOOD SERVICE MANAGER,7/1/23,12/31/99,,"$30,387.84 ",,,,
FOOD SERVICE SITE MANAGER TRAINEE,CHILD NUTRITION,CLASSIFIED,FOOD SERVICE MANAGER,7/3/23,5/24/24,,"$30,387.84 ",,,,
TCHR SPECIAL ED MS 23/24SY,SOUTH DOYLE MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TENNIS COACH / EXTRA / FARRAGUT HIGH SCHOOL,FARRAGUT HIGH,CLASSIFIED,ATH COACH TENNIS HEAD,6/29/23,11/29/23,,,,,,
TCHR SPED MS 23/24SY,GRESHAM MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED MS 23/24SY,KARNS MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED ES 23/24SY,ROCKY HILL ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR ARCHT & ENG DES 23/24SY,POWELL HIGH,CERTIFIED,TEACHER HS CTE,7/5/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR LANG ARTS 6 SUPPLY 8/1/23 THROUGH 9/22/23,POWELL MIDDLE,CERTIFIED,TEACHER 6TH GRADE ELA,7/5/23,9/22/23,JOB DESCRIPTION,"$36,100.00 ",,,,
EDUC ASSIST SPED HS 23/24SY,BEARDEN HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/5/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPED(CDC PRE-K) INTERIM 23/24SY,HALLS ELEMENTARY,CERTIFIED,TEACHER PRE-K SPED,7/5/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST CDC-A HS 23/24SY,FULTON HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/6/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPED ES 23/24SY,INSKIP ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,7/10/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED CDC-A MS 23/24SY,BEARDEN MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,7/11/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
COACH LITERACY 23/24SY,AUSTIN EAST HIGH,CERTIFIED,COACH LITERACY SECONDARY,7/11/23,9/30/23,JOB DESCRIPTION,"$45,920.00 ",,,,
TCHR SPECIAL ED HS 23/24SY,KARNS HIGH,CERTIFIED,TEACHER HS SPECIAL ED,7/12/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
PSYCHOLOGY DIAGNOSTICIAN 23/24SY,SYSTEMWIDE,CERTIFIED,PSYCHOLOGIST,7/12/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST POS BHVR 23/24SY,OFFICE OF SCHOOL CULTURE,CLASSIFIED,EA SYSTEMWIDE,7/12/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST CDC-A HS 23/24SY,CENTRAL HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/12/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
FAMILY/COMM LIAISON (RUSSIAN-UKRAINIAN) 23/24SY,ENGLISH LANGUAGE LEARNERS,CLASSIFIED,INTERPRETER CLASSIFIED,7/14/23,9/30/23,JOB DESCRIPTION,"$27,778.15 ",,,,
TCHR ELL SUPPLY THROUGH 12/20/23,NORTHWEST MIDDLE,CERTIFIED,TEACHER ENGLISH LANG LEARNERS,7/14/23,12/20/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED CDC-A 23/24SY,FARRAGUT INTERMEDIATE,CERTIFIED,TEACHER ES SPECIAL ED,7/14/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST CDC HS 23/24SY,FULTON HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/14/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
SECRETARY ADMIN 23/24SY (BILINGUAL PREFERRED),STRATEGY DIVISION,CLASSIFIED,ADMINISTRATIVE SECRETARY,7/17/23,9/30/23,JOB DESCRIPTION,"$30,322.00 ",,,,
ASSISTANT BOYS BASKETBALL COACH / HARDIN VALLEY MIDDLE SCHOOL,HARDIN VALLEY MIDDLE,CLASSIFIED,ATH COACH BASKETBALL MIDDLE,7/17/23,11/29/23,,,,,,
ASSISTANT FOOTBALL COACH / WEST HIGH SCHOOL,WEST HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,7/27/22,11/29/23,,,,,,
BUS AIDE (TIME CARD),HARDIN VALLEY MIDDLE,CLASSIFIED,,8/13/18,12/31/99,job description,,,,,
EDUC ASSIST CDC-A MS SUPPLY 8/10/23 THROUGH 10/6/23,SOUTH DOYLE MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/17/23,10/6/23,JOB DESCRIPTION,,"$21,192.60-$21,192.60",,,
TCHR KINDERGARTEN SUPPLY THROUGH 10/26/23,WEST VIEW ELEMENTARY,CERTIFIED,TEACHER KINDERGARTEN,7/17/23,10/26/23,JOB DESCRIPTION,,"$36,100.00-$36,100.00",,,
EDUC ASSIST SPED HS 23/24SY,WEST HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/17/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST TITLE I 23/24SY,FAIR GARDEN,CLASSIFIED,EDUCATIONAL ASSISTANT ES,7/18/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPED HS 23/24SY,CARTER HIGH,CERTIFIED,TEACHER HS SPECIAL ED,7/18/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST CDC ES 23/24SY,NORWOOD ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/18/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPECIAL ED 23/24SY,VINE MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,7/18/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED MS 23/24SY,HALLS MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,7/19/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
LIAISON BEHAVIOR (PART-TIME) 23/24SY,SPECIAL EDUCATION,CLASSIFIED,LIAISON,7/19/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST SPED HS 23/24SY,HARDIN VALLEY ACADEMY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/20/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPED CDC ES 23/24SY,NORTHSHORE ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,7/20/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST TITLE 1 23/24SY,MOORELAND HEIGHTS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,7/20/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPANISH HS 23/24SY,CAREER MAGNET ACADEMY,CERTIFIED,TEACHER HS,7/20/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST PK 23/24SY,LONSDALE ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,7/20/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
SECRETARY SCHOOL SUPPLY THROUGH 10/6/23,SOUTH DOYLE MIDDLE,CLASSIFIED,SCHOOL CLERICAL,7/20/23,10/6/23,JOB DESCRIPTION,,"$23,560.00-$23,560.00",,,
TCHR MATH HS SUPPLY THROUGH 12/20/23,HARDIN VALLEY ACADEMY,CERTIFIED,TEACHER HS MATHEMATICS,7/21/23,12/20/23,JOB DESCRIPTION,"$44,800.00 ",,,,
ASSISTANT FOOTBALL COACH / CENTRAL HIGH SCHOOL,CENTRAL HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,7/21/23,11/29/23,,,,,,
ASSISTANT GIRLS TRACK COACH / AUSTIN EAST HIGH SCHOOL,AUSTIN EAST HIGH,CLASSIFIED,ATH COACH TRACK ASSISTANT,7/21/23,11/29/23,,,,,,
EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,7/21/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
CROSS COUNTRY COACH / AUSTIN EAST HIGH SCHOOL,AUSTIN EAST HIGH,CLASSIFIED,ATH COACH CROSS COUNTRY,7/21/23,11/29/23,,,,,,
PERMANENT SUB II 23/24SY,WEST HAVEN ELEMENTARY,CLASSIFIED,SUBSTITUTE PERMANENT II,7/21/23,9/30/23,JOB DESCRIPTION,,,,,
EDUC ASSIST CDC-A HS 23/24SY,FARRAGUT HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/21/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPED ES 23/24SY,AL LOTTS ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,7/24/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,ROCKY HILL ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/24/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,NORWOOD ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/25/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPECIAL ED MS 23/24SY,POWELL MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,7/25/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPECIAL ED 23/24SY,BEAUMONT MAGNET,CERTIFIED,TEACHER ES SPECIAL ED,7/25/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
PSYCHOLOGIST 23/24SY,STUDENT SUPPORT SERVICES,CERTIFIED,PSYCHOLOGIST,7/26/23,9/30/23,JOB DESCRIPTION,"$47,264.00 ",,,,
ASSISTANT BASEBALL COACH / EXTRA / HALLS HIGH SCHOOL,HALLS HIGH,CLASSIFIED,ATH COACH BASEBALL ASSISTANT,7/26/23,11/29/23,,,,,,
EDUC ASSIST CDC HS 23/24SY,SOUTH DOYLE HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/27/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST PAC ES 23/24SY,STERCHI ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,7/27/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
PSYCHOLOGIST 23/24SY,SYSTEMWIDE,CERTIFIED,PSYCHOLOGIST,7/27/23,9/30/23,JOB DESCRIPTION,"$47,264.00 ",,,,
TCHR SPED MS 23/24SY,HARDIN VALLEY MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,7/27/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST ES 23/24SY,MOORELAND HEIGHTS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,7/27/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR 2ND GRADE SUPPLY THROUGH 11/16/23,WEST VIEW ELEMENTARY,CERTIFIED,TEACHER 2ND GRADE,7/27/23,11/16/23,JOB DESCRIPTION,,"$36,100.00-$36,100.00",,,
EDUC ASSIST CDC-A HS 23/24SY,HALLS HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/28/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPED ES 23/24SY,PLEASANT RIDGE ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,7/28/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED ES 23/24SY,KARNS ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,7/28/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
COLL & CAREER COUNSELOR 23/24SY,CARTER MIDDLE,CERTIFIED,COUNSELOR COLLEGE AND CAREER,7/28/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED ES 23/24SY,KARNS ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,7/28/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
ASSISTANT BOYS SOCCER COACH / AUSTIN EAST HIGH SCHOOL,AUSTIN EAST HIGH,CLASSIFIED,ATH COACH SOCCER ASSISTANT,7/29/23,11/29/23,,,,,,
TCHR FOREIGN LANG (SPANISH) HS 23/24SY,HALLS HIGH,CERTIFIED,TEACHER HS WORLD LANGUAGES,7/31/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST CDC-A ES 23/24SY,ROCKY HILL ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/31/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED HS 23/24SY,WEST HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/31/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST PAC ES 23/24SY,MOORELAND HEIGHTS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,7/31/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR MATH HS 23/24SY,FULTON HIGH,CERTIFIED,TEACHER HS MATHEMATICS,8/1/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST CDC-A ES 23/24SY,INSKIP ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,8/1/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",KNOX COUNTY VIRTUAL SCHOOL,CLASSIFIED,TUTOR LITERACY,8/1/23,4/30/24,JOB DESCRIPTION,$125.00 ,,,,
EDUC ASSIST CDC-A ES 23/24SY,BRICKEY-MCCLOUD ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,8/1/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
HEAD TENNIS COACH / FULTON HIGH SCHOOL,FULTON HIGH,CLASSIFIED,ATH COACH TENNIS HEAD,8/1/23,11/29/23,,,,,,
EDUC ASSIST SPED ES 23/24SY,DOGWOOD ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,8/2/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST CDC ES 23/24SY,ROCKY HILL ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,8/2/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST ES 23/24SY,STERCHI ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,8/2/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST CDC MS 23/24SY,SOUTH DOYLE MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,8/2/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
CLUB SPORT / ASSISTANT SWIM AND DIVE COACH / WEST HIGH SCHOOL,WEST HIGH,CLASSIFIED,ATH COACH CLUB SPORTS,8/3/23,11/29/23,,,,,,
COLL & CAREER COUNSELOR 23/24SY,FARRAGUT MIDDLE,CERTIFIED,COUNSELOR COLLEGE AND CAREER,8/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
RESTORATIVE ASSTISTANT (PART-TIME) 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT HS,8/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST SPED MS 23/24SY,BEARDEN MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,8/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
