title,Location,Job Family,Job Class,Posting Start,Posting End,Details,MINIMUM SALARY,DAILY RATE RANGE,Salary,HOURLY RATE RANGE,SALARY RANGE
EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
ASSISTANT GIRLS WRESTLING COACH / SOUTH DOYLE HIGH SCHOOL,SOUTH DOYLE HIGH,CLASSIFIED,ATH COACH WRESTLING HEAD,8/11/22,11/29/23,,,,,,
WORKPLACE READINESS SPECIALIST - TSW GRANT- TIMECARD,SYSTEMWIDE,CLASSIFIED,,7/3/23,9/30/23,JOB DESCRIPTION,,,,,
WORKPLACE READINESS SPECIALIST - TSW GRANT- TIMECARD,SYSTEMWIDE,CLASSIFIED,,7/3/23,9/30/23,JOB DESCRIPTION,,,,,
TCHR WELDING HS 23/24SY,BYINGTON SOLWAY CTE,CERTIFIED,TEACHER HS CTE,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR MATH HS 23/24SY,BEARDEN HIGH,CERTIFIED,TEACHER HS MATHEMATICS,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
INSTRUCTOR ROTC 23/24SY,FULTON HIGH,CERTIFIED,TEACHER ROTC,7/3/23,9/30/23,JOB DESCRIPTION,,,"$40,000.00-$100,000.00",,
EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST SPED HS 23/24SY,HARDIN VALLEY ACADEMY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
GIRLS ASSISTANT WRESTLING COACH / POWELL HIGH SCHOOL,POWELL HIGH,CLASSIFIED,ATH COACH WRESTLING ASSISTANT,10/20/22,11/29/23,,,,,,
TCHR MATH HS 23/24SY,BEARDEN HIGH,CERTIFIED,TEACHER HS MATHEMATICS,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
COUNSELOR SCHOOL (POOL) 23/24SY,SYSTEMWIDE,CERTIFIED,TEACHER SYSTEMWIDE,2/3/23,6/30/24,JOB DESCRIPTION,"$43,077.00 ",,,,
EDUC ASSIST ELEVATE 23/24SY,SYSTEMWIDE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT,7/3/23,9/30/23,,"$22,308.00 ",,,,
PERMANENT SUB II 23/24SY,NORTHWEST MIDDLE,CLASSIFIED,SUBSTITUTE PERMANENT II,7/3/23,9/30/23,JOB DESCRIPTION,,,,,
EDUC ASSIST CDC MS 23/24SY,NORTHWEST MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
INSTRUCTOR ROTC 23/24SY,WEST HIGH,CERTIFIED,TEACHER ROTC,7/3/23,9/30/23,JOB DESCRIPTION,,,,,
EDUC ASSIST CDC MS 23/24SY,NORTHWEST MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST CDC MS 23/24SY,NORTHWEST MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SATL SP 23/24SY,RICHARD YOAKLEY SCHOOL,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST ES PART-TIME 23/24SY,BEARDEN ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED MS 23/24SY,HARDIN VALLEY MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED ES 23/24SY,ROCKY HILL ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST CDC ES 23/24SY,ROCKY HILL ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
SPED HOMEBASED AUTISM 23/24SY,SPECIAL EDUCATION,CERTIFIED,TEACHER SYSTEMWIDE,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST SPED PK 23/24SY,SYSTEMWIDE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED PK,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST SPED PK 23/24SY,SYSTEMWIDE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED PK,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
ASSISTANT VOLLEYBALL COACH / EXTRA / CENTRAL HIGH SCHOOL,CENTRAL HIGH,CLASSIFIED,ATH COACH VOLLEYBALL ASSISTANT,1/9/23,11/29/23,,,,,,
CUSTODIAN,MAINTENANCE,CLASSIFIED,CUSTODIAN WORKER,7/3/23,12/31/99,Job Description,,,,$12.20-$18.84,
EDUC ASSIST CDC-A MS 23/24SY,KARNS MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TIMECARD,SYSTEMWIDE,CLASSIFIED,TIMECARD,3/5/21,12/31/99,,,,,,
TCHR SPEECH / LANGUAGE POOL 23/24SY,SPECIAL EDUCATION,CERTIFIED,TEACHER SPEECH,1/5/23,6/30/24,Job Description,,,,,"$43,077.00-$63,648.00"
ASSISTANT BOYS BASKETBALL COACH / EXTRA / FULTON HIGH SCHOOL,FULTON HIGH,CLASSIFIED,ATH COACH BASKETBALL B-TEAM,11/9/22,12/31/99,,,,,,
EDUC ASSIST TITLE I 23/24SY,MAYNARD ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPECIAL ED 23/24SY,KNOXVILLE ADAPTIVE ED CENTER,CERTIFIED,TEACHER ES SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST SATL SP 23/24SY,RICHARD YOAKLEY SCHOOL,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
TCHR MATH 7 23/24SY,VINE MIDDLE,CERTIFIED,TEACHER MS MATHEMATICS,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TCHR SPED CDC-A HS 23/24SY,CENTRAL HIGH,CERTIFIED,TEACHER HS SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST CDC-A ES 23/24SY,ROCKY HILL ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
HEAD WRESTLING COACH / CENTRAL HIGH SCHOOL,CENTRAL HIGH,CLASSIFIED,ATH COACH WRESTLING HEAD,3/1/23,11/29/23,,,,,,
TCHR ELL (POOL) 23/24SY,ENGLISH LANGUAGE LEARNERS,CERTIFIED,TEACHER ENGLISH LANG LEARNERS,12/1/22,6/30/24,JOB DESCRIPTION,"$43,077.00 ",,,,
TCHR ART 23/24SY (221 DAY),KELLEY VOLUNTEER ACADEMY,CERTIFIED,TEACHER HS FINE ARTS,7/3/23,9/30/23,JOB DESCRIPTION,"$49,504.00 ",,,,
EDUC ASSIST SATL SP PART-TIME 23/24SY,RICHARD YOAKLEY SCHOOL,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST CDC HS 23/24SY,SOUTH DOYLE HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
ASSISTANT FOOTBALL COACH / EXTRA / SOUTH DOYLE HIGH SCHOOL,SOUTH DOYLE HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,12/20/22,11/29/23,,,,,,
RESTORATIVE ASSTISTANT 23/24SY,SYSTEMWIDE,CLASSIFIED,EA SYSTEMWIDE,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
SCHOOL SECURITY OFFICER - POOL,SECURITY,CLASSIFIED,SECURITY OFFICER,9/2/20,12/31/99,Job Description,,,,,
ASSISTANT FOOTBALL COACH / AUSTIN EAST HIGH SCHOOL,AUSTIN EAST HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,3/10/23,11/29/23,,,,,,
TCHR SPED SEC SA 23/24SY,RICHARD YOAKLEY SCHOOL,CERTIFIED,TEACHER MS SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
TPACK DISTRICT POOL 23/24SY,SYSTEMWIDE,CERTIFIED,COACH TPACK,3/23/23,6/30/24,JOB DESCRIPTION,"$45,446.24 ",,,,
SOCIAL WORKER POOL 23/24SY,SOCIAL WORKER,CERTIFIED,SOCIAL WORKER,3/23/23,6/30/24,JOB DESCRIPTION,,,,,
COUNSELOR ELEMENTARY POOL 23/24SY,COUNSELOR ELEMENTARY,CERTIFIED,GUIDANCE ELEMENTARY,3/23/23,6/30/24,JOB DESCRIPTION,"$43,077.00 ",,,,
PERMANENT SUB II 23/24SY,FORT SANDERS EDU DEVELOP CENT,CLASSIFIED,SUBSTITUTE PERMANENT II,7/3/23,9/30/23,JOB DESCRIPTION,,,,,
ASSISTANT BOYS SOCCER COACH / EXTRA / CENTRAL HIGH SCHOOL,CENTRAL HIGH,CLASSIFIED,ATH COACH SOCCER ASSISTANT,1/17/23,11/29/23,,,,,,
EDUC ASSIST CDC ES 23/24SY,GREEN MAGNET ACADEMY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
EDUC ASSIST CDC-A MS 23/24SY,SOUTH DOYLE MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
TCHR SPED ES 23/24SY,BALL CAMP ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,7/3/23,9/30/23,JOB DESCRIPTION,"$44,800.00 ",,,,
ASSISTANT TRACK COACH / EXTRA / BEARDEN HIGH SCHOOL,BEARDEN HIGH,CLASSIFIED,ATH COACH TRACK ASSISTANT,3/31/22,11/29/23,,,,,,
